price,price_m2,area_m2,address,url
,,Plotas,,
160 768 €,2 470                                    €/m²,65.1,Bajorai Salaspilio g.,https://www.aruodas.lt/butai-vilniuje-bajoruose-salaspilio-g-yvenkite-ten-kur-ramuma-bajoru-alejos-1-3601186/?search_pos=117
231 390 €,5 446                                    €/m²,42.5,Naujamiestis Algirdo g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-algirdo-g-naujas-butu-projektas-naujamiestyje-algirdo-1-3606930/?search_pos=118
217 377 €,3 870                                    €/m²,56.2,Naujamiestis Marijampolės g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-marijampoles-g-naujas-butu-projektas-1-3574429/?search_pos=119
182 000 €,3 710                                    €/m²,49.1,Dvarčionys Moliakalnio g.,https://www.aruodas.lt/butai-vilniuje-dvarcionyse-moliakalnio-g-parduodamas-kambariu-butas-su-terasa-ir-1-3591307/?search_pos=120
139 000 €,3 268                                    €/m²,42.5,Naujamiestis Smolensko g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-smolensko-g-gyvenant-naujamiestyje-i-pasimatymus-su-1-3603894/?search_pos=121
601 800 €,8 301                                    €/m²,72.5,Naujamiestis Algirdo g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-algirdo-g-kvieciame-jus-i-algirdo-gatve-aplink-kuria-1-3463828/?search_pos=122
95 367 €,3 592                                    €/m²,26.6,Visoriai Visorių g.,https://www.aruodas.lt/butai-vilniuje-visoriuose-visoriu-g-jaukiame-naujos-statybos-kvartale-metu-laikai-1-3603270/?search_pos=123
205 300 €,3 354                                    €/m²,61.2,Justiniškės Rygos g.,https://www.aruodas.lt/butai-vilniuje-justiniskese-rygos-g-parduodamas-butas-su-daline-apdaila-naujame-1-3602264/?search_pos=124
650 000 €,5 396                                    €/m²,120.5,Žvėrynas Sakalų g.,https://www.aruodas.lt/butai-vilniuje-zveryne-sakalu-g-senojo-zveryno-sirdyje-vystomas-projektas-1-3593877/?search_pos=125
,,Plotas,,
172 900 €,3 562                                    €/m²,48.5,Baltupiai Vito Gerulaičio g.,https://www.aruodas.lt/butai-vilniuje-baltupiuose-vito-gerulaicio-g-bm-butas-vienintelis-neparduotas-tokio-1-3580117/?search_pos=126
